,0
2380,5980
2381,6851
2382,7059
2383,7305
2384,6760
2385,2071
2386,6768
2387,6960
2388,7346
2389,6803
2390,5982
2391,6822
2392,6045
2393,7053
2394,7088
2395,6777
2396,5252
2397,6958
2398,6168
2399,7161
2400,6056
2401,6931
2402,6801
2403,6792
2404,5367
2405,6706
2406,6786
2407,7106
2408,6858
2409,7004
2410,6492
2411,7110
2412,6542
2413,6361
2414,6685
2415,2900
2416,5504
2417,6588
2418,5721
2419,5962
2420,640
2421,7396
2422,7422
2423,2238
2424,6531
2425,1633
2426,6580
2427,4433
2428,7128
2429,6927
2430,7502
2431,7112
2432,4136
2433,432
2434,6562
2435,6939
2436,2963
2437,7022
2438,7319
2439,6601
2440,4495
2441,823
2442,5741
2443,5817
2444,7193
2445,7121
2446,6351
2447,7095
2448,6816
2449,7231
2450,7056
2451,6331
2452,7404
2453,6994
2454,7371
2455,6510
2456,7212
2457,5808
2458,6937
2459,7125
2460,7192
2461,7588
2462,7314
2463,6728
2464,7260
2465,6451
2466,6899
2467,6285
2468,1284
2469,6635
2470,3777
2471,7303
2472,5127
2473,6981
2474,7291
2475,7132
2476,5559
2477,7493
2478,6853
2479,7385
2480,7218
2481,3037
2482,6353
2483,7122
2484,1626
2485,6642
2486,6648
2487,7175
2488,7598
2489,6692
2490,7070
2491,7269
2492,7467
2493,5687
2494,6067
2495,7179
2496,5603
2497,6902
2498,7789
2499,7693
2500,7213
2501,6123
2502,6491
2503,6142
2504,7189
2505,7293
2506,7428
2507,4094
2508,4470
2509,7649
2510,7450
2511,2062
2512,7405
2513,7312
2514,5558
2515,7511
2516,7030
2517,6027
2518,7550
2519,2996
2520,7166
2521,7245
2522,6508
2523,7436
2524,7444
2525,7430
2526,7301
2527,7743
2528,6921
2529,7247
2530,1803
2531,7566
2532,6977
2533,4824
2534,7016
2535,7262
2536,6585
2537,7210
2538,7138
2539,6133
2540,5715
2541,7048
2542,7168
2543,3610
2544,7594
2545,3662
2546,7424
2547,6288
2548,7728
2549,7563
2550,3815
2551,7367
2552,7524
2553,6247
2554,5494
2555,4346
2556,3745
2557,7841
2558,3093
2559,7224
2560,7330
2561,7358
2562,7604
2563,4880
2564,7713
2565,7178
2566,7562
2567,6847
2568,7554
2569,6779
2570,7401
2571,1980
2572,6538
2573,7209
2574,6808
2575,1414
2576,7852
2577,3871
2578,2534
