,0
1717,3311
1718,4189
1719,6777
1720,5053
1721,9179
1722,5667
1723,7864
1724,6468
1725,1991
1726,2603
1727,530
1728,3200
1729,4042
1730,10323
1731,2056
1732,8392
1733,4821
1734,791
1735,6902
1736,4185
1737,7256
1738,2668
1739,2147
1740,5201
1741,10639
1742,832
1743,1305
1744,4731
1745,5692
1746,859
1747,7858
1748,7426
1749,8793
1750,6281
1751,6073
1752,2306
1753,2044
1754,10622
1755,6324
1756,5342
1757,2481
1758,1422
1759,10338
1760,4039
1761,10046
1762,7118
1763,2224
1764,8203
1765,3474
1766,7453
1767,8128
1768,6371
1769,3508
1770,9061
1771,6826
1772,5821
1773,7954
1774,3046
1775,8880
1776,2477
1777,8044
1778,9462
1779,5192
1780,4563
1781,9773
1782,6098
1783,8911
1784,8580
1785,9424
1786,9034
1787,5709
1788,8497
1789,4632
1790,864
1791,565
1792,658
1793,4621
1794,5243
1795,9578
1796,1549
1797,10284
1798,380
1799,9364
1800,6479
1801,2215
1802,1107
1803,7595
1804,8328
1805,3703
1806,4444
1807,9815
1808,8804
1809,8442
1810,178
1811,5224
1812,1581
1813,1099
1814,1341
1815,6721
1816,2716
1817,10344
1818,7434
1819,1607
1820,2301
1821,5310
1822,10796
1823,10645
1824,1062
1825,4157
1826,5780
1827,10251
1828,7419
1829,1544
1830,1424
1831,1155
1832,4704
1833,3539
1834,1777
1835,2109
1836,9398
1837,7715
1838,10729
1839,5251
1840,4607
1841,3732
1842,3851
1843,1755
1844,8526
1845,2858
1846,2188
1847,6684
1848,5682
1849,6911
1850,1724
1851,1170
1852,3120
1853,8071
1854,4623
1855,9178
1856,5585
1857,5658
1858,6477
1859,7343
1860,3506
1861,2577
1862,9121
1863,4589
1864,5032
1865,6730
1866,3428
1867,778
1868,4115
1869,7385
1870,7408
1871,4004
1872,3813
1873,3310
1874,753
1875,4822
1876,10426
1877,8062
1878,10077
1879,5249
1880,7543
1881,8692
1882,5778
1883,7340
1884,2308
1885,2524
1886,3801
1887,7952
1888,8238
1889,2427
1890,6874
1891,4586
1892,6935
1893,7804
1894,899
1895,5451
1896,4298
1897,7801
1898,5903
1899,10765
1900,7690
1901,2396
1902,6140
1903,7241
1904,6852
1905,9956
1906,4903
1907,5773
1908,7600
1909,7125
1910,5688
1911,4696
1912,6176
1913,5207
1914,8897
1915,3466
1916,10532
1917,2581
1918,2240
1919,479
1920,3307
1921,3059
1922,3774
1923,8052
1924,9314
1925,9942
1926,3268
1927,5112
1928,8809
1929,8895
1930,6440
1931,8461
1932,3634
1933,6395
1934,1335
1935,4656
1936,3923
1937,5739
1938,9086
1939,6963
1940,3702
1941,5884
